V1,V2,V3,V4,V5,V7,V8,V9,V10,intro1,consent,intro2,salience,multilat1,multilat2,abe,party,interest,screentime1_1,screentime1_2,screentime1_3,screentime1_4,screener_1,screener_2,screener_3,screener_4,screener_5,prompt,txhxs.time_1,txhxs.time_2,txhxs.time_3,txhxs.time_4,txhxs,txfxs.time_1,txfxs.time_2,txfxs.time_3,txfxs.time_4,txfxs,cxhxs.time_1,cxhxs.time_2,cxhxs.time_3,cxhxs.time_4,cxhxs,cxfxs.time_1,cxfxs.time_2,cxfxs.time_3,cxfxs.time_4,cxfxs,txhxe.time_1,txhxe.time_2,txhxe.time_3,txhxe.time_4,txhxe,txfxe.time_1,txfxe.time_2,txfxe.time_3,txfxe.time_4,txfxe,cxhxe.time_1,cxhxe.time_2,cxhxe.time_3,cxhxe.time_4,cxhxe,cxfxe.time_1,cxfxe.time_2,cxfxe.time_3,cxfxe.time_4,cxfxe,countryfav,policyfav,peoplefav,trumpfav,intro3,age,sex,area,education,income,comment
R_cU9fjkwLUd4A8db,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:41:33,2017-04-26 19:45:20,1,1,1,1,1,1,1,1,1,5,6.474,6.474,7.542,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13.186,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,1,3,1,9,2,3,素晴らしい調査をありがとうございました。
R_2rjS25bo0mCYfIv,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:42:17,2017-04-26 19:45:31,1,1,1,1,1,4,2,2,7,2,20.334,29.046,46.456,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,31.658,0,1,2,4,2,3,1,4,1,5,5,3,
R_2ab3uJcHlnj5KHA,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:39:50,2017-04-26 19:45:34,1,1,1,1,2,1,2,5,1,5,6.08,39.282,40.584,4,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,24.926,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,1,4,2,2,4,4,
R_3KWaMCU9L1D8N5T,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:44:01,2017-04-26 19:46:14,1,1,1,1,1,2,3,3,7,2,1.405,26.32,26.836,10,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.096,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,1,2,2,3,5,4,
R_1HccnGPky2gbVbA,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:41:10,2017-04-26 19:46:21,1,1,1,1,2,2,3,4,7,5,31.091,32.566,34.325,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25.651,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,1,6,1,3,5,3,
R_1CqjBwKJFP2EG1g,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:41:57,2017-04-26 19:46:32,1,1,1,1,1,1,2,4,7,4,27.791,67.226,68.563,10,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,32.311,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,1,2,2,4,3,3,
R_1oaPPGGlT6R6lLq,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:43:06,2017-04-26 19:46:47,1,1,1,1,1,2,2,3,7,4,9.917,9.917,12.539,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.128,4.128,11.223,1,1,NA,NA,NA,NA,NA,3,4,3,5,1,3,2,5,5,5,
R_RwzAorl2DHZoHhn,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:42:12,2017-04-26 19:46:54,1,1,1,1,1,2,3,4,2,4,33.67,34.575,43.69,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,22.26,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,3,1,3,5,4,
R_1gbT8K5cfudqpUG,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:43:01,2017-04-26 19:47:21,1,1,1,1,2,2,3,4,7,2,17.095,18.18,20.664,4,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,29.334,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,1,3,2,5,2,1,
R_2WvUXRJTWJ5Przw,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:45:24,2017-04-26 19:47:27,1,1,1,1,1,1,1,3,1,5,13.358,16.139,16.98,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6.558,0,1,4,4,4,4,1,3,1,1,2,3,
R_dapaeuVMdIAL6VD,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:43:10,2017-04-26 19:47:31,1,1,1,1,5,2,1,2,7,4,2.312,37.817,38.731,10,1,NA,1,NA,NA,1,0,0,11.315,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,1,2,2,3,2,3,
R_2q7Q2g2zn9dSKhw,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:44:59,2017-04-26 19:47:41,1,1,1,1,5,3,2,2,7,3,5.283,11.453,12.587,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,7.32,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,1,3,2,9,2,4,
R_1DqxDAvEgChaBRM,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:43:42,2017-04-26 19:48:21,1,1,1,1,5,2,2,1,1,4,30.439,43.624,45.337,6,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,32.734,0,1,2,2,2,3,1,4,1,3,4,5,
R_2905z4wO9BIg1aw,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:45:45,2017-04-26 19:48:24,1,1,1,1,1,2,2,1,1,5,6.501,14.495,15.145,14,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.685,4.685,6.356,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,1,2,2,9,5,4,なるようにしかならないことはわかっています。
R_5dOzHhjis7JFupz,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:45:30,2017-04-26 19:48:30,1,1,1,1,5,1,1,3,7,4,11.628,74.874,75.786,8,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,5.4,6.786,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,1,3,2,4,5,3,
R_1GP88X3cVxEGqii,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:46:49,2017-04-26 19:48:30,1,1,1,1,1,1,2,2,7,3,12.13,12.866,15.487,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7.233,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,3,1,3,5,2,
R_2zPlIGbYGdYHIiJ,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:45:20,2017-04-26 19:49:06,1,1,1,1,2,2,3,5,7,4,25.759,27.086,38.262,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.134,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,5,1,3,1,4,5,3,
R_1HiY2CYbc6q80O3,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:46:15,2017-04-26 19:49:21,1,1,1,1,4,2,2,1,1,5,10.169,41.653,43.364,21,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8.508,0,1,NA,NA,NA,NA,NA,2,3,1,3,1,1,2,4,2,6,
R_3h4M3EgrNleCuGd,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:46:59,2017-04-26 19:49:21,1,1,1,1,5,2,2,2,7,4,10.082,10.911,13.03,2,1,NA,1,NA,NA,1,0,0,10.079,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,5,1,2,2,7,3,2,
R_27IMIH6GMfrm8Ng,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:46:27,2017-04-26 19:49:25,1,1,1,1,5,2,2,2,1,4,25.662,25.662,28.997,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15.316,0,1,2,2,2,3,1,4,1,5,5,2,
R_31AQRRQgPSCa9ea,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:46:13,2017-04-26 19:49:35,1,1,1,1,1,1,2,3,1,2,16.189,16.189,20.633,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25.303,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,1,2,2,3,5,4,
R_3s6UvKONNjm0jd4,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:46:41,2017-04-26 19:49:38,1,1,1,1,6,3,3,3,7,2,19.651,35.511,42.815,4,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8.117,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,1,1,4,2,1,
R_1JCQkf6UR7R0CQ4,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:46:08,2017-04-26 19:49:43,1,1,1,1,5,1,3,4,7,4,28.638,30.58,32.72,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,24.589,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,1,3,2,6,5,3,
R_DubmFHH8rbZa2Tn,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:45:46,2017-04-26 19:49:49,1,1,1,1,1,2,2,5,7,3,9.202,10.655,29.263,2,1,NA,1,NA,NA,1,0,0,12.638,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,5,1,3,1,6,5,2,
R_3EsRBj7lmXACtLs,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:46:43,2017-04-26 19:50:00,1,1,1,1,2,3,3,1,1,4,15.805,26.767,40.178,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,0,18.219,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,3,2,6,5,5,
R_27vv1AggFL9cXF6,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:46:37,2017-04-26 19:50:02,1,1,1,1,5,3,2,3,7,4,14.63,36.314,38.501,8,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,17.372,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,1,3,2,1,4,2,
R_1rCD2sDbT40UmEK,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:49:06,2017-04-26 19:51:20,1,1,1,1,5,2,3,1,1,5,17.084,18.018,18.799,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,21.932,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,2,2,6,3,3,
R_2fg331u0EdyWJi3,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:47:03,2017-04-26 19:51:39,1,1,1,1,1,2,2,3,7,2,25.341,32.901,45.209,4,1,NA,1,NA,NA,1,0,0,18.492,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,1,2,1,4,5,2,
R_1dlReMYWl8rBjxs,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:45:31,2017-04-26 19:51:55,1,1,1,1,5,1,1,3,3,5,9.083,28.158,30.164,7,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.535,15.681,27.979,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,4,1,2,2,7,2,3,更に日米関係に目を向けていかなければならないと思います
R_SH0FGf6pSKpTnEJ,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:44:13,2017-04-26 19:51:57,1,1,1,1,1,1,1,2,1,5,51.404,53.464,61.382,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,31.83,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,1,4,2,2,2,3,トランプさんは日本にある米軍基地の費用を払いたくないと言っていましたが、その件はどうなったんでしょうか。今は期待で株価も上昇していますが、これからアメリカの政治がどうなるのかは、まだまだ見極めが必要だと思っています。
R_1k1yx0fICboVpEF,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:48:08,2017-04-26 19:52:19,1,1,1,1,5,2,2,2,7,4,15.815,36.958,39.154,7,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,51.079,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,1,2,2,6,2,4,
R_1hRsd4TfFbrLFKg,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:47:56,2017-04-26 19:52:40,1,1,1,1,1,2,2,2,1,4,21.343,58.987,63.119,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,23.153,0,1,NA,NA,NA,NA,NA,2,2,2,3,1,3,1,6,5,7,
R_1ODoqkFw2wPfuXA,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:40:34,2017-04-26 19:52:43,1,1,1,1,5,4,2,2,1,4,22.23,24.804,36.117,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,23.657,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,5,1,5,5,1,ありがとうございました。
R_3qxTwj9UF6iBDV2,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:49:49,2017-04-26 19:52:46,1,1,1,1,5,1,2,3,7,5,7.511,13.403,14.6,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.637,10.371,25.262,2,1,NA,NA,NA,NA,NA,4,5,2,5,1,1,2,3,5,5,
R_3lDnrdzo9mmA0yp,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:48:17,2017-04-26 19:52:56,1,1,1,1,5,3,2,2,7,4,17.454,26.484,28.684,3,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,52.289,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,4,2,3,3,5,
R_3gY2LdeALl3gwaw,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:51:01,2017-04-26 19:53:02,1,1,1,1,2,2,2,4,4,4,2.559,2.559,3.639,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.495,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,5,1,5,1,5,2,3,
R_2zpzBWL41NWjAzt,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:49:35,2017-04-26 19:53:15,1,1,1,1,5,1,2,2,1,4,56.183,62.462,65.934,5,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,18.685,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,1,2,2,2,3,3,
R_28AJ4WgXIUK1xt2,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:50:33,2017-04-26 19:53:34,1,1,1,1,1,3,3,4,7,4,18.028,24.318,30.036,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,8.844,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,1,2,2,5,5,1,
R_1NyrfCIsZX1N4og,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:50:17,2017-04-26 19:53:42,1,1,1,1,5,2,2,3,7,5,12.433,12.433,14.434,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,22.127,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,1,5,1,6,5,2,
R_3G1h9nbNwthKEwB,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:47:22,2017-04-26 19:54:00,1,1,1,1,2,1,1,4,7,4,13.717,14.7,25.378,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,58.207,0,1,2,4,3,5,1,3,1,5,2,3,新聞社に、右派、左派があることを初めて知りました。
